id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.84075E+15,Mh645znUv,5833343304,星话大白,今天文章，我主要从日本近期疫情数据，还有日本的超额死亡数据，来做一个论证分析，看奥密克戎对整体社会的危害程度会有多大。我通过这些数据，不是在呼吁重新严防严控。因为，防疫的代价在不断上升，当防疫成本和防疫难度已经大到某个临界点，客观上已经很难坚持防疫的时候，我们早晚也是会放开，大家对此应该也都有预期。但支持放开的人，也应该实事求是去正视国外的疫情数据。哪怕我们不得不躺平，我们也需要了解清楚躺平之后需要付出什么代价。不能对国外的疫情数据视而不见，把自己眼睛遮起来，就认为疫情不存在了。觉得躺平之后，生活就可以恢复正常，经济就会好起来。如果我们抱着这种天真的想法，一旦躺平之后开始付出巨大代价的时候，会因为现实和心理预期过大的落差，而更容易陷入恐慌、会更加情绪化。到时候我们的舆论、社会，也会有更多的怨言。所以，我们需要做好预期管理，对躺平放开之后，可能需要承受的代价，要有所准备。这样，我们在面临不得不躺平的局面时，才不容易出现混乱，也能让民众基于重视，积极做好个人防疫，来尽可能降低躺平的代价。这就是我写这篇文章的原因。主要是给大家做一个预期管理，让大家对躺平之后需要付出的代价，有一个心理准备和预期。新冠病毒并不会对我们特别优待，以日本、韩国、香港等地的数据看，我们如果躺平，第一轮疫情冲击所带来的代价，是躲不过去的。我们的医疗资源比日本、韩国要匮乏得多，躺平之后所付出的代价，只会比日本韩国严重。#微博新知博主#O关于疫情，还是得用数据说话，实事求是,,,,微博新知博主,157,128,787,2022/11/28 11:59,微博 weibo.com,,,
4.84075E+15,Mh640fhwh,1306014463,寒珠,看到封控爱好者有个观点，支持全城静默清零的人，比大部分人经济能力都强……恰恰相反，我关注的公司高管，有能力拿出一个亿移民的真正有钱人都反对静默封城。说一刀切清零派都是有钱人那是不要脸的贴金。事实上，在全国封控时间最长的西部某城市，你们知道哪些人坚定不移的支持全城静默清零吗？是每个月拿三千块期待转正的社区零时工，做核酸的零时工，看大门的保安物业人员……跟居民近距离接触时不时起冲突的也是这一部分人，他们大部分人年龄大学历低，如果在互联网时代参与就业竞争根本找不到工作，一旦疫情结束了，他们就失业了。他们也是底层穷人，一旦掌握了一点封控权，就拿着鸡毛当令箭想方设法设置障碍为难别人达成自己的业绩导致“过度防疫”，就像是千年的媳妇熬成婆。还有人说：天天关在家里也能活得很好的人当然支持静默清零了。这是明显的认知错误，全城静默把人关在家里，比如上海疫情和新疆疫情，几个月收不到快递点不了外卖，无法劳动生产无法享受生活的便利，除了想从中谋利、从中谋权的人，哪个傻比会支持？就是人均GDP全国第一的克拉玛依石油工人在沙漠中建游泳池的他们也不支持啊。想当然的说支持清零封控的都是有钱人，估计是没见过世面的人，刘姥姥进大观园还说过一句话呢“瘦死的骆驼比马大”。不管是清零还是放开，有钱人都会有更好的条件和资源抗疫。这是对的。所以搞钱是头等大事，可是天天封控，你除了进军全民核酸产业或者是进体制，去哪搞钱？忽略过度防疫导致民怨的事实，讨论立场已经没有意义，因为任何政策都需要群众的配合，不配合靠强制就搞不成。没人想躺平感染病毒，只想得到生活保障的情况下科学防疫。,,,,,10,20,137,2022/11/28 11:58,,['https://wx4.sinaimg.cn/large/4dd832ffly1h8kt7eg3lpj20k00f0jtg.jpg'],,
4.84075E+15,Mh63M4mOR,7602442591,好一只猪609,要求放开疫情防控的家里是没有老人吗,,,,,0,0,0,2022/11/28 11:58,OPPO智能手机,,,
4.84075E+15,Mh63H0KYW,6981450665,黄小姐聊财经,今天市场多少有一些修复，但是偏谨慎吧。因为后续大家不知道还会发生什么突然利空，所以谨慎一些没错。板块上今天旅游酒店这些调整了一段时间的，再次起来，还是炒放开预期。某种程度上来说，今天市场是比较超预期的，要知道早上刚开盘的那会，A50期货暴跌，外资借周末的事件发挥，只可惜打爆空狗，现在快拉上来了，在乐观的人看来，周末关于疫情的消息只会让疫情政策加速作出改变，其实是利好，那么医药股特别是检测试剂反而要小心，当然放开初期的感冒、发烧药可能会分歧走强。,,,,,1,0,175,2022/11/28 11:58,新版微博 weibo.com,,,
4.84075E+15,Mh63BpVKY,6343705644,紫禁说事,未来是一定会全面开放，或者朝着放宽政策去的，为什么呢？第一，国家这几年为了新冠，是真的没什么钱了，再这么封下去，生产力严重下降，人们被封住也赚不到钱，所以消费能力也严重下降，国力出现停滞不前，甚至有可能倒退的现象。第二，怎么封也不可能灭绝新冠，因为国外绝大部分国家都是躺平状态，即使国内严加管控，全面清零，但是依然很多西方国家派毒过来，经常看新闻都有说哪个省哪个省境外输入多少例之类的，不要小看这些，虽然他们会被隔离，但依然有传染给国内平民，到时候一不小心，又得各种零星点点出现，所以怎么管控，依然消灭不了新冠。而且新冠变异之后，传染性更加强，封锁的效果越来越弱，从最近全国各地各种爆发就看得出来。第三，人心开始动摇，最近看新闻可以看到，很多人开始不听管控，有的拆护栏，有的爬护栏，甚至封控的时候逃进逃出的都越来越多，是因为大家从开始的抱着希望，到现在已经麻木了，不想在封住了，封住等于断了他们的财路生路，他们也要赚钱养家，不是说封住了就能有钱吃饭，所以我是非常理解他们。我觉得未来我们也要做好以下。第一，继续听从国家政府，我们国家跟别的国家不一样，我们国家要求的是生命至上，利益其下。请给国家一点耐心，多点配合，相信国家会根据事实情况来调节各种符合当下的政策。第二，我们也要从心理上做好以后会越来越放开管控政策，同时我们也要该打加强针的打上，该戴口罩的戴口罩。第三，要做好以后有可能自己或者家人们被感染的心理准备，最近的疫情是真的有点严重，多看看别人感染的怎么处理，遇到各种症状是怎么处理的。最后我想说，不管未来是继续管控，还是全面或者半全面放开，我们都一如既往遵守国家规定，配合国家的一切安排。,,,,,4,1,9,2022/11/28 11:57,nova 8 SE 活力版,,,
4.84075E+15,Mh63BoPia,6343705644,紫禁说事,未来是一定会全面开放，或者朝着放宽政策去的，为什么呢？第一，国家这几年为了新冠，是真的没什么钱了，再这么封下去，生产力严重下降，人们被封住也赚不到钱，所以消费能力也严重下降，国力出现停滞不前，甚至有可能倒退的现象。第二，怎么封也不可能灭绝新冠，因为国外绝大部分国家都是躺平状态，即使国内严加管控，全面清零，但是依然很多西方国家派毒过来，经常看新闻都有说哪个省哪个省境外输入多少例之类的，不要小看这些，虽然他们会被隔离，但依然有传染给国内平民，到时候一不小心，又得各种零星点点出现，所以怎么管控，依然消灭不了新冠。而且新冠变异之后，传染性更加强，封锁的效果越来越弱，从最近全国各地各种爆发就看得出来。第三，人心开始动摇，最近看新闻可以看到，很多人开始不听管控，有的拆护栏，有的爬护栏，甚至封控的时候逃进逃出的都越来越多，是因为大家从开始的抱着希望，到现在已经麻木了，不想在封住了，封住等于断了他们的财路生路，他们也要赚钱养家，不是说封住了就能有钱吃饭，所以我是非常理解他们。我觉得未来我们也要做好以下。第一，继续听从国家政府，我们国家跟别的国家不一样，我们国家要求的是生命至上，利益其下。请给国家一点耐心，多点配合，相信国家会根据事实情况来调节各种符合当下的政策。第二，我们也要从心理上做好以后会越来越放开管控政策，同时我们也要该打加强针的打上，该戴口罩的戴口罩。第三，要做好以后有可能自己或者家人们被感染的心理准备，最近的疫情是真的有点严重，多看看别人感染的怎么处理，遇到各种症状是怎么处理的。最后我想说，不管未来是继续管控，还是全面或者半全面放开，我们都一如既往遵守国家规定，配合国家的一切安排。,,,,,0,2,10,2022/11/28 11:57,nova 8 SE 活力版,,,
4.84075E+15,Mh63uigrS,7393542071,孤鸿泽v2,放开一直以来都是不断尝试探索的，管理层并没有想搞封城封锁的意愿，国家现在面临的压力和困难非常的大，比你们家的大的多的多。中国现在面临着全球经济下行的压力，美国制裁的压力，金融战争的压力，分裂势力的压力，国内经济下行的压力，14亿人衣食住行的压力。政府没钱就会乱甚至灭国，明朝怎么亡的？就是没钱，历史上灭国都是因为财政先出问题而后乱。一个国家的运转哪里不要钱？军事要钱，国防要钱，外交要钱，内政要钱，政府运转要钱，公务员要钱，哪哪都要花钱的，最想放开的是政府啊。在放开恢复生产上面，政府比你们任何人都要急。没有生产消费就没有税收，税就是政府的收入来源，没有钱就要歇菜。但是为什么一次又一次的静默隔离封控？那是真没办法了，横竖是一个死，里外都被人骂，那还是保证人民的健康吧，存人失地，人地皆存；存地失人，人地皆失。用一个较短的时间把病毒指数增长压下去，然后再放松限制最大化的恢复生产。保证人力这个经济增长中最重要的生产要素。算政治账，算人心账，最后再算经济账，保证一个人都不放弃，照顾老弱病残的边缘人群。国家如果不做出姿态，而是直接放弃了他们，会寒人心的，因为我们是社会主义。什么是社会主义？一个国家是整体，不是阶层割裂的，一个国就是一个家，都是兄弟姐妹，你父母即我父母，你我如兄弟，相互理解，相互照顾，不再是阶级剥削的人吃人社会。阶级社会是一个国家分成若干个阶级，这些阶级相互你死我活的斗争，喝底层的血，维持上层光鲜虚伪的奢靡生活。不是政府想封控，是病毒的现实要求我们不得不那么做，在整体综合成本上来看，短暂的封控清零还是最优解。有人觉得病毒传染力太强了，封也封不住，致死率低了，可以不管了。真放开了死几百万人的的责任你来背吗？你背得动吗？站着说话不腰疼。正所谓不在其位不谋其政，权责和一，你不背责任，只动动键盘，所以你没权职责别人，没权指挥别人应该怎么做怎么做。真要放开了，现在所有的老年人，刚出生不久的婴儿，孕妇，10岁以下抵抗力未完整的儿童，有基础病的人，得癌症的人，刚做完重大手术的人，体弱亚健康多病的人，这些人得了就半条命甚至整条命没了，你们知道这是多大规模的人群吗？在目前强力管制的情况下医疗资源都出现了紧张承担着巨大的压力，真放开的结果如何？如果真像你们想的那么简单，政府早就全放了。从武汉全面封城，到上海拖拖拉拉的封城，再到现在的广州北京定点封控，精准高风险到单元，风控时间基本控制在几天就解。在放开上一直是在向前走的，换了一年多前，以目前的状态也得是全国一半的地区全面静默。今年4月北京的疫情还很稳定与现在跟本没法比的时候我还在家办公两周。而今天的北京每天4000人的指数级增长，我依然正常上班，我们小区被十几个阳的小区包围了生活依然正常，快递正常上楼。别被阴兵带了节奏，我们一直处于战争之中，病毒的战场，金融的战场，舆论的战场？你们要打起精神来，站在国家的立场，维护国家的利益，与敌人战斗到底，不要当汪精卫啊。汪精卫能当汉奸，也是有一点基本盘的，你们可不要鼠目寸光认贼作父，砸自家的锅！,,,,,456,77,1596,2022/11/28 11:57,微博 weibo.com,,,
4.84075E+15,Mh63rjQeR,7418843210,茄茄在写作业,TTG粤精彩大学的这边疫情严重，呆在学校复习，天气经常下雨，阴冷又潮湿。很久以前在看ttg的比赛，很喜欢九尾和清清。这几天期待了很久的世冠，看出来打的真的很崩溃，特别是bo1，心态很重要，压力也很大。但是什么样的失败ttg没经历过？不求你接下来的比赛的输赢多少，只求把自己的血性打出来，不愧于自己。另外，学校下了那么久的雨，今天突然放晴了，头顶上是大大的太阳，大家都很开心。相信ttg也会迎来晴天的！放开了打，加油。,,,,,0,0,0,2022/11/28 11:57,TTG粤精彩超话,,,
4.84073E+15,Mh5G4dc5d,7399622700,漂刀2号,疫情的舆论已经乱了，有些人太容易被鼓动和利用了。漂亮的话，情绪的话的确是容易被吸收，客观事实大部分人都懒得看。新冠病毒真是流感甚至感冒吗？看数据，病死率其实还没有流感高。你是不是以为我会支持放开躺平？病死率是不高，但是现在奥密克戎的传播能力是流感的5倍以上。非典也好，西班牙大流感也好，在这一点上都不够看。甚至是天花，R0值都没有现在奥密克戎的一些主要分支高。一个病死率高，传的慢，一个病死率低，传的快。你觉得哪个更危险？表面上看前者更危险，可实际情况并非如此。就单独个体而言，即便感染上新冠，如钟南山院士所说，不必惊慌，大概率跟重感冒差不多，尤其是打了疫苗的青壮年，可能都没感觉就好了。但是别忘了咱们的人口结构，还有很多的老年人，有基础病且没打疫苗的老年人大有人在。一旦躺平任由发展，在巨大的人口基数下，极小的病死率也会完成巨大的杀伤。这还没算大流行带来的医院瘫痪，间接导致的救治不及时造成的其他伤亡。要知道中国的人均床位数，尤其是人均icu床位数是远低于发达国家的。你可能会说，美国日本新加坡等等放开了也没事啊。你是忘了之前美国死了多少人了，易感易死的群体已经死了几轮了，现在你当然觉得无所谓。有一个概念叫超额死亡，就是相对于正常无疫情的年份，高出正常水平的死亡人数。这是一个结果数据，不论具体死因。根据日本自己公布的数据，2022年8月超额死亡17845人，比例达到了15.1%。所以不是有什么自由呼吸，而是有人负棺前行。有人会说，可是封控种种乱像太让人气愤了。的确，我也很气愤，我也跟居委会吵过架。所以除了病毒这个真实背景，我们还不得不面对一个人性的事实，就是这个世界有很多的坏人。发国难财者有之，玩忽职守者有之，起哄架秧子者亦有之。这是一个无法在短期内扭转的现状，怎么办？打架吗？起哄吗？呼吁躺平？用一场混乱来对抗另一场混乱，只会带来更大的混乱。搞清楚事实，搞清楚敌友，搞清楚什么是对自己和家人有益的。我们真正需要的是二十条能严格落地而不被层层加码，需要的是封控措施更科学和人性化，后勤保障充足，突发情况能以人为本。需要的是条件更合理的方舱，需要的是更加公开透明的信息通知，而不是一封了之，需要的是更科学的安排部署，而不是朝令夕改，执行混乱。基层执行者里有小人，也有默默奉献的平凡英雄，不要搞整个群体的对立，这样的你会失去真正的队友。过去的这个周末，北京的很多小区业主都通过谈判的方式破除了不合理的封控措施，过程不是一帆风顺，但让我们明白一件事，讲道理是可以解决问题的，理性是有光辉的。最后，打个比方描述一下我所认为的全局现状。医院是我们的最后一道防线，一旦突破，只能拿弱势群体的命换平息。但是这道防线资源并不充足，加强需要时间。封控措施是我们的第一道防线，这道防线运行了三年，到今天已经尽显疲态，情绪对立，利益链条，凡此种种让这道防线岌岌可危。特效药和特效疫苗是这场战争中的战略武器，可是他什么时候能出现，谁也不知道。现在唯一能做的就是，尽力维持第一道防线拖延时间，为第二道防线加强防御。也许我们后边会看到更多的方舱医院作为第一防线溃败后的缓冲池，会看到第四针加强针，会看到扩建icu病房，会看到护士扩招。理性的人越多，第一防线维持的时间就越长，留下来准备的时间就越充足。我知道很多人很愤怒，但是也请你静下心来想想，你到底想要的是什么？眼下的事实又是什么？实事求是真的是一句永不过时的话。我为什么说这些？我很大公无私吗？不，我自私的很，我只是不希望我的健康因为一群被鼓动的人制造的混乱而受到威胁，不希望我的股票因为社会的混乱暴跌。,,,,,0,0,0,2022/11/28 10:59,Note 10 Pro,,,
4.84073E+15,Mh5G053Eo,5780874063,财经斌哥,个股来看，虽然涨跌比不好，但是今天大幅下跌的个股是近几个交易日来，最少的。后面降准和降息，都还有空间，力度不够就继续降准，再加上疫情放开预期增强，消息面偏暖甚至是频吹暖风。,,,,,0,0,5,2022/11/28 10:59,新版微博 weibo.com,,,
